NRKARTY,DATAW,MASA,JEDN,FIRMA,NR_KLIENTA,NR_MAGW,NR_ODPADU
1439/0W/2018,07.11.2018,15.0,Mg.,0,827,34791,630
1427/0W/2018,18.12.2018,5.1,Mg.,0,13771,34778,572
82/1W/2019,08.03.2019,17.52,Mg.,1,6827,35168,564
1428/0W/2018,18.12.2018,0.714,Mg.,0,5226,34779,492
1429/0W/2018,18.12.2018,4.64,Mg.,0,5226,34780,579
510/1W/2018,11.12.2018,13.3,Mg.,1,6827,34715,575
1430/0W/2018,18.12.2018,24.64,Mg.,0,11299,34781,531
1375/0W/2018,11.12.2018,11.34,Mg.,0,7473,34716,357
1376/0W/2018,11.12.2018,3.94,Mg.,0,13771,34717,512
1431/0W/2018,19.12.2018,3.32,Mg.,0,5708,34782,531
1432/0W/2018,05.11.2018,3.02,Mg.,0,12807,34783,531
1145/0W/2018,18.09.2018,0.58,Mg.,0,5012,34405,564
1146/0W/2018,18.09.2018,0.01,Mg.,0,5012,34406,365
1147/0W/2018,18.09.2018,0.05,Mg.,0,5012,34407,564
379/0W/2019,15.04.2019,2.08,Mg.,0,16949,35447,531
380/0W/2019,16.04.2019,9.08,Mg.,0,13771,35448,564
381/0W/2019,16.04.2019,23.46,Mg.,0,17224,35449,531
7/2W/2019,10.04.2019,1.08,Mg.,2,16949,35451,582
192/0W/2019,08.03.2019,8.06,Mg.,0,827,35169,531
83/1W/2019,11.03.2019,1.76,Mg.,1,313,35170,579
193/0W/2019,13.03.2019,23.9,Mg.,0,11299,35171,564
154/0W/2019,27.02.2019,24.68,Mg.,0,11299,35111,531
155/0W/2019,07.02.2019,3.4,Mg.,0,12807,35112,346
156/0W/2019,08.02.2019,2.96,Mg.,0,12807,35113,531
63/1W/2019,27.02.2019,14.14,Mg.,1,6827,35114,565
64/1W/2019,27.02.2019,0.19,Mg.,1,396,35115,531
157/0W/2019,26.02.2019,19.5,Mg.,0,9156,35116,355
158/0W/2019,27.02.2019,21.12,Mg.,0,9156,35117,575
65/1W/2019,28.02.2019,9.64,Mg.,1,14556,35118,592
66/1W/2019,27.02.2019,3.13,Mg.,1,396,35119,564
383/0W/2019,12.03.2019,35.0,Mg.,0,827,35452,572
67/1W/2019,28.02.2019,4.0,Mg.,1,16393,35120,572
159/0W/2019,11.02.2019,21.72,Mg.,0,5905,35121,604
384/0W/2019,12.03.2019,15.0,Mg.,0,827,35453,576
